Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume,Subjectivity,Polarity
2015-05-04,78.81,0.5484,0.053,0.863,0.084,79.33,79.69,78.6301,14664320,0.3818181818181818,0.3045454545454545
2015-05-05,77.56,0.8702,0.043,0.894,0.063,78.55,78.8,77.22,22243130,0.3854924242424243,0.06776515151515151
2015-05-06,78.1,0.9378,0.068,0.831,0.101,77.97,78.81,77.05,28610160,0.44228787878787884,0.05055303030303031
2015-05-07,78.425,0.0,0.0,1.0,0.0,78.0,78.94,77.56,19727740,0.0,0.0
2015-05-08,78.51,0.9919,0.056,0.84,0.104,79.1,79.23,78.03,19921440,0.419106449106449,0.13485625485625485
2015-05-11,78.01,0.9968,0.057,0.787,0.156,78.48,79.03,77.93,18826100,0.42414702581369246,0.04891694725028059
2015-05-12,77.46,0.9136,0.032,0.818,0.15,77.87,77.89,76.79,21249920,0.5777777777777777,0.2888888888888889
2015-05-13,78.44,0.9944,0.044,0.795,0.161,77.72,78.53,77.65,21485710,0.47308612440191405,0.12679425837320576
2015-05-14,81.37,0.9607,0.053,0.862,0.085,78.94,81.845,78.67,49376110,0.5103497835497836,0.17679668109668106
2015-05-15,80.42,0.9759,0.063,0.845,0.092,81.41,81.52,80.18,27029540,0.4246384297520661,0.2353650137741047
2015-05-18,80.88,0.998,0.018,0.858,0.124,80.33,81.38,80.23,21560230,0.36417424242424246,0.1382045454545454
2015-05-19,80.63,0.846,0.05,0.888,0.062,81.25,81.69,80.55,17943450,0.40059587099060767,0.1444843168527379
2015-05-20,80.55,0.9974,0.046,0.815,0.139,80.47,81.1,79.46,23024330,0.45579447874529827,0.2637836207508339
2015-05-21,80.48,0.9933,0.042,0.83,0.128,80.19,80.92,80.08,13376150,0.369068736141907,0.20950665188470072
2015-05-22,80.54,0.9294,0.028,0.92,0.052,80.35,81.31,80.25,19547070,0.3197543952645993,0.06576110963866064
2015-05-26,79.335,0.9947,0.046,0.844,0.11,80.43,80.6,79.08,16271510,0.42448232323232327,0.12030303030303034
2015-05-27,80.55,0.9921,0.042,0.851,0.106,79.6,80.66,79.43,14132160,0.40902351436442347,0.2571881149153877
2015-05-28,80.145,0.9815,0.05,0.865,0.085,80.25,81.0745,80.0,11974610,0.39431401931401927,0.11615467865467864
2015-05-29,79.19,0.9758,0.038,0.881,0.082,79.95,80.07,78.88,16111570,0.45144628099173545,0.06261191460055095
2015-06-01,80.29,0.6189,0.049,0.897,0.055,79.3,80.38,78.66,18106110,0.3491657647907648,0.09918549332611831
2015-06-02,80.445,0.5362,0.101,0.787,0.112,79.76,81.35,79.56,18900690,0.45784157363104727,0.057688729399255706
2015-06-03,82.44,0.9874,0.064,0.839,0.097,81.35,82.53,81.25,31633300,0.4799303519061582,0.091727761485826
2015-06-04,82.05,0.9957,0.034,0.843,0.123,82.14,82.95,81.51,20825910,0.35682082145496785,0.15024284658430997
2015-06-05,82.14,0.9975,0.028,0.848,0.124,81.87,82.46,81.51,16087280,0.45983428030303003,0.15755445075757582
2015-06-08,80.67,0.9732,0.047,0.868,0.085,81.82,82.0,80.13,16882270,0.4060942760942762,0.21505050505050505
2015-06-09,80.67,0.9789,0.023,0.791,0.185,80.6,81.19,79.32,16443310,0.5084175084175084,0.11178451178451179
2015-06-10,82.16,-0.9558,0.072,0.87,0.058,80.83,82.6,80.81,21485920,0.5451917613636362,0.062354403409090896
2015-06-11,81.83,0.9956,0.038,0.836,0.127,82.31,82.9,81.36,18619240,0.40181818181818174,0.2128787878787879
2015-06-12,81.53,-0.5994,0.14,0.86,0.0,81.37,82.09,81.2,11403090,0.40602272727272726,0.06443181818181817
2015-06-15,80.71,0.991,0.026,0.872,0.102,80.55,80.93,80.07,18782870,0.44657869012707735,0.2178885630498534
2015-06-16,81.06,0.3254,0.066,0.862,0.072,80.82,81.51,80.45,13673040,0.42059659090909096,0.1788352272727273
2015-06-17,81.79,0.471,0.106,0.78,0.114,81.76,82.22,81.34,18326140,0.48714416896235085,0.197910927456382
2015-06-18,82.905,0.8458,0.04,0.899,0.061,81.64,83.19,81.57,26726860,0.3359611742424242,-0.003977272727272729
2015-06-19,82.51,0.9402,0.077,0.821,0.102,82.83,82.98,82.12,23337800,0.47633149678604236,0.10137167125803487
2015-06-22,84.74,0.9948,0.071,0.77,0.16,83.41,84.97,83.31,29076040,0.5204356060606061,0.1466098484848485
2015-06-23,87.88,0.9925,0.048,0.824,0.128,84.96,87.97,84.76,50336830,0.5819128787878787,0.15682546620046617
2015-06-24,88.86,0.9977,0.014,0.846,0.14,87.66,89.25,87.45,41337040,0.35445608971924764,0.1484327611959191
2015-06-25,87.98,0.958,0.04,0.875,0.085,89.26,89.4,87.835,27245480,0.3853324915824916,0.1757154882154882
2015-06-26,88.01,0.9932,0.008,0.846,0.146,88.12,88.34,86.8283,38185770,0.4222222222222222,0.17916666666666667
2015-06-29,85.8,0.9895,0.029,0.857,0.114,86.61,87.5,85.73,35869530,0.38421717171717185,0.18467487373737368
2015-06-30,85.765,0.8105,0.06,0.874,0.065,86.6,86.7,85.57,23195430,0.3105738233397808,0.051168600902643455
2015-07-01,86.91,-0.8334,0.074,0.865,0.062,86.77,87.95,86.49,25198260,0.4249858836815359,0.12907961603613777
2015-07-02,87.285,0.2693,0.095,0.796,0.109,87.4,87.44,86.3401,16875000,0.44398148148148153,-0.05972222222222222
2015-07-06,87.55,0.0,0.0,1.0,0.0,86.49,88.1846,86.39,24592870,0.0,0.0
2015-07-07,87.22,0.8385,0.045,0.875,0.08,87.8,87.85,85.231,33023960,0.38694153069153064,0.11908993783993783
2015-07-08,85.65,-0.4352,0.09,0.81,0.1,86.29,86.75,85.445,24351990,0.4510874046588332,0.03819186765615337
2015-07-09,85.88,-0.3213,0.057,0.884,0.059,86.73,87.6,85.6499,23237200,0.5255710955710956,0.24482517482517482
2015-07-10,87.95,-0.7998,0.081,0.847,0.073,87.35,88.22,86.77,23191120,0.48662936765615294,0.08174667594310452
2015-07-13,90.1,0.9936,0.023,0.875,0.103,88.66,90.22,88.42,29682360,0.3833284457478006,0.11392228739002931
2015-07-14,89.68,0.9765,0.015,0.871,0.114,90.46,90.8,89.65,26568630,0.3314646464646464,0.14393939393939392
2015-07-15,89.76,0.9974,0.023,0.807,0.17,90.0,90.99,89.42,30818700,0.491520798042537,0.263170525127047
2015-07-16,90.85,0.9659,0.042,0.872,0.086,90.28,90.86,89.77,21417840,0.4112061380354063,0.13765353887305107
2015-07-17,94.97,0.9972,0.042,0.801,0.157,92.55,95.39,92.54,53767930,0.4250738150738151,0.15321872571872566
2015-07-20,97.91,0.9949,0.021,0.888,0.092,95.85,98.6,95.36,54786320,0.44247382920110184,0.10650688705234164
2015-07-21,98.39,0.9926,0.052,0.849,0.098,98.95,99.24,97.1427,39163900,0.37851999726999735,0.06486145236145234
2015-07-22,97.04,-0.9891,0.098,0.842,0.06,96.74,97.58,95.92,28196110,0.37836043155810595,0.009683840061747037
2015-07-23,95.44,0.998,0.041,0.8,0.159,96.96,97.45,94.81,29281230,0.46742488662131515,0.13632723922902495
2015-07-24,96.95,0.978,0.049,0.839,0.113,97.35,97.76,95.88,33351170,0.3592064964513944,0.11789395411844392
2015-07-27,94.17,0.997,0.022,0.828,0.149,96.58,96.61,93.8301,38428000,0.34342679284539757,0.2793080304708212
2015-07-28,95.29,0.529,0.103,0.799,0.098,94.84,95.56,93.31,34826750,0.4918762088974856,0.0694874274661509
2015-07-29,96.99,0.9433,0.02,0.899,0.081,96.32,97.28,94.74,61383310,0.426432022084196,0.12594893029675638
2015-07-30,95.21,0.9768,0.079,0.774,0.147,94.91,95.81,91.8,86021630,0.3674591901154401,-0.03272231240981241
2015-07-31,94.01,0.9602,0.063,0.844,0.093,94.95,96.33,93.95,46386320,0.4837995337995338,0.12972392191142187
2015-08-03,94.14,0.782,0.044,0.878,0.079,93.53,95.08,92.8,29262980,0.52,0.19196969696969696
2015-08-04,94.06,0.8931,0.063,0.861,0.076,93.79,94.73,93.33,20050730,0.4748800505050504,0.1371120806277056
2015-08-05,96.44,0.9515,0.054,0.853,0.093,95.25,97.09,95.18,29718020,0.39551597051597054,0.09717444717444718
2015-08-06,95.12,0.9873,0.056,0.858,0.087,97.18,98.74,94.42,42205860,0.3713140020898641,0.156546499477534
2015-08-07,94.3,0.9975,0.032,0.844,0.124,95.38,95.4,93.61,23141300,0.41978420569329655,0.1102433425160698
2015-08-10,94.15,0.9872,0.06,0.844,0.097,95.68,95.9,93.63,21461830,0.5454545454545451,0.22207602339181293
2015-08-11,93.62,-0.8834,0.2,0.705,0.096,93.73,94.76,92.9006,22244980,0.22222222222222227,0.038888888888888896
2015-08-12,94.19,0.9943,0.054,0.79,0.156,92.7,94.44,91.19,27075100,0.4215424082090749,0.16165143498476833
2015-08-13,93.43,0.9911,0.041,0.864,0.095,94.05,94.73,93.35,17398890,0.3890271765271765,0.12355474386724384
2015-08-14,94.42,-0.1921,0.111,0.783,0.106,93.54,94.72,93.21,15904340,0.3689822755860491,0.10250142938822188
2015-08-17,93.93,0.9819,0.057,0.833,0.11,94.42,94.46,93.39,18284030,0.3486531986531987,0.16462241462241461
2015-08-18,95.17,0.9768,0.071,0.802,0.127,94.08,95.85,94.04,22222720,0.4829014079014078,0.21416188916188922
2015-08-19,95.31,0.9776,0.021,0.874,0.105,94.63,96.1,94.161,23176290,0.4384830447330447,0.21567685786435783
